Type,Name,Description,Cost
FERTILIZER,UREA(PRILLED),46-0-0,1.539.19
FERTILIZER,UREA(GRANULAR),46-0-0,"1,583.78"
FERTILIZER,AMMOSUL,21-0-0,752.56
FERTILIZER,COMPLETE,14-14-14,"1,462.89"
FERTILIZER,AMMOPHOS M,16-20-0,"1,361.42"
FERTILIZER,URIATEOF  POTASH,0.0-60 18-46-0,"1,492.00"
FERTILIZER,DIAMMONIUM PHOSPHATE,,
HERBICIDE,Racumin/50g,COUMATETRALYL,P52.60
HERBICIDE,Ratkil,ZINC PHOSPHIDE,
HERBICIDE,Ratol,ZINC PHOSPHIDE,
HERBICIDE,Rat-X/sachet,ZINC PHOSPHIDE,P25.75
HERBICIDE,Storm/sachet,FLOCOUMAFEN,P25.75
HERBICIDE,Zinc Phosphide/sachet,ZINC PHOSPHIDE,P23.5
HERBICIDE,Bayluscide,NICLDSAMIDE  ETHANOLAHINE,
HERBICIDE,Bavunel,METALDEHE,
HERBICIDE,Cmarron,,
HERBICIDE,Hit,NICLOSAMIDE &NICLDSAMIDE ETHANOLAMINE,
HERBICIDE,Hit 700WP,NICLDSAMIDE ETHANOLAMINE SALT,
HERBICIDE,Maskada,NICLDSAMIDE ETHANOLAMINE SALT,
HERBICIDE,Moluxide,"METALDEHVDE,NICLOSAMIDE,& NICLDSAMIDE ETHANOLAMINE",
HERBICIDE,Nicloma,ATCLOSAMIDE ETHANOLAMIN SALT,
HERBICIDE,Parakuhol,NICLOSAMIDE &NICLOSAMIDE ETHANOLAMINE,
HERBICIDE,Primalex,NIGLD AMIDE ETHANOLAMINR,
HERBICIDE,Sakuhol,METAI.DEHYDE,
HERBICIDE,Shatte,NICLOSAMIDE ETHANOLAMINE,
HERBICIDE,Snail Free,,
HERBICIDE,Snailmate 70WP,NOCLOSAMIDE   ETHANOLAMINE,
HERBICIDE,Snailkill,NICLDSAMIDE   ETHANOLAMINE,
HERBICIDE,SurekiH,,
HERBICIDE,Tagluscide,NICLOSAMIDE ETHANULAMINE,
HERBICIDE,Viso-Balt,METALDEHVDE,
HERBICIDE,Antracol,PROPINEB,P617.50
HERBICIDE,Amor,THIOPHANATE METHYL,"P1,850.00"
HERBICIDE,Armure 250ML,DIFENOCDNAZOLE+,P732.50
HERBICIDE,Benomax/Box,RENOMYL,"P1,850.00"
HERBICIDE,Daconi,CHLDROTHALONTL,P943.80
HERBICIDE,Dithame,MANCOZEB,P586.75
HERBICIDE,Dithane M45,MANCDZEB,P624.00
HERBICIDE,Fungitox/ box,THUOPHANATE METHYL,P633.75
HERBICIDE,Fungufree,BENOMYL/MANCOZEB,P424.83
HERBICIDE,Funguran/box,COPPER HYDROXIDE,P750.00
HERBICIDE,Funguran OH,COPPER HY DROXIDE,P787.57
